# chandef-cases.tsv - channel/width matrix for run_chandef_vif_host.sh (todo 4.5)
#
# Columns (TAB separated):
#   case_id  phase(setfreq|hop|converge)  freq  width  center  set_tier  tx_probe
#   tx_tier_template  tx_tier_constructed
#
# width uses iw set-freq tokens (HT20/HT40-/HT40+/NOHT/5/10/80/160/80+80); center '-' = absent.
#
# Context model (v7+ driver truth):
#   The managed template latched at monitor entry stays valid on its own
#   frequency/width (or narrowed to 20 MHz). Every other channel falls back to
#   the constructed context, which follows the monitor width (HT>=40, 5G VHT
#   >=80, 6G HE incl. widths) since the v7 maxsqueeze unlock.
#
# Coverage: every iw-phy channel NOT flagged disabled on v10 (2.4G ch1-14,
# 5G 36-173, 6G ch1-233) plus width probes. DFS-family 5G rows stay
# observation (radar/CAC is FW-owned); 5885/ch177 and 5935/ch2 are disabled
# in the live regdom and intentionally excluded.
#
# tx tiers:
#   must_complete         set must be accepted and the frame must get a FW
#                         completion round trip
#   must_refuse_either    a precise refusal at either layer passes: the set
#                         itself refused with an errno, or the set was
#                         accepted and TX terminally rejected with
#                         drop_reason_context (never a silent completion)
#   observation           outcome recorded, no pass/fail judgement
#   '-'                   no TX probe for this row
#
# setfreq rows: 109
ch.6g.6075.ht20	setfreq	6075	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6095.ht20	setfreq	6095	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6115.ht20	setfreq	6115	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6135.ht20	setfreq	6135	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6155.ht20	setfreq	6155	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6175.ht20	setfreq	6175	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6195.ht20	setfreq	6195	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6215.ht20	setfreq	6215	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6235.ht20	setfreq	6235	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6255.ht20	setfreq	6255	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6275.ht20	setfreq	6275	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6295.ht20	setfreq	6295	HT20	-	must_accept	1	must_complete	must_complete
ch.6g.6315.ht20	setfreq	6315	HT20	-	must_accept	1	must_complete	must_complete
